Feature Id,Importances
auction_bidfloor,10.550242933818803
minute,4.968840887563069
auction_categorical_7,4.624402741037671
fullMinute,4.157267317263195
auction_categorical_9,4.058116016166366
auction_categorical_0,3.4373411548231227
creative_categorical_0,3.200606595162271
action_list_2_variance,3.0355350582443896
auction_categorical_11,2.7381094606156333
auction_categorical_12,2.513352324517683
auction_categorical_6,2.4895663888641852
action_list_2_mean,2.2454789026301354
action_list_1_median,2.2184299162405123
creative_categorical_8,2.067233137831092
action_categorical_4,2.0414000820127134
auction_list_0,2.0234880040298484
auction_list_0_0,1.8755856187921303
action_list_1_sum,1.850380372513854
action_list_1,1.796314800474369
action_list_1_mean,1.7475318386750074
creative_categorical_9,1.723317010401016
creative_categorical_6,1.6129131338154206
action_list_2,1.479376187630541
device_id_type,1.328893766643827
gender,1.2743750033982497
action_list_2_median,1.2596475923834987
action_categorical_2,1.2248343460072262
action_categorical_3,1.219778283670984
auction_list_0_1_3,1.209530774179146
action_list_1_variance,1.1642490224477178
auction_categorical_4,1.1430654826907447
hour,1.106262953730544
auction_list_0_0_1,1.0534255797925502
auction_age,0.9914970899738051
auction_list_0_1,0.9300387152723203
action_categorical_1,0.920808110013274
creative_categorical_4,0.8426321127889211
action_list_1_min,0.8390580183241904
action_list_2_min,0.7248990180285838
creative_categorical_12,0.7221265946319924
creative_categorical_5,0.7038676579984334
action_list_0,0.7018005037043179
action_list_2_sum,0.69846218210694
action_list_1_range,0.6829729813989757
action_categorical_0,0.6674977069393456
auction_categorical_8,0.6550083745853437
creative_categorical_3,0.6420641340093007
auction_list_0_2,0.6273074852673701
auction_categorical_1,0.60111563593656
creative_categorical_2,0.5486330226867063
device_id,0.5361582426917865
auction_list_0_4,0.5117723403726739
creative_area,0.5030893400190084
auction_list_0_3_4,0.49303215977099785
weekday,0.48798034835375265
action_list_2_max,0.45358055350548354
day,0.44082796966511606
action_list_2_range,0.37731192759250837
auction_list_0_0_1_2,0.3727159687537889
auction_list_0_1_2,0.31305975673931496
auction_list_0_2_3,0.31039840882479347
auction_list_0_size,0.29889382901599426
auction_list_0_0_2,0.2893960459659207
auction_list_0_3,0.26870313972005067
creative_height,0.26570382680862176
action_list_2_size,0.2339189645388783
auction_list_0_2_4,0.20782743709577875
creative_width,0.19150138201029945
action_list_1_max,0.15338325115662746
auction_list_0_unique,0.13509214270505362
auction_list_0_1_2_3,0.10598826689124695
action_categorical_7,0.07138487332582613
auction_list_0_commas,0.03959779274245759
